# T  E_per_site  C_per_site  M2  acceptance
1.00000000  -1.9971588542  0.0233577049  0.9985535685  0.0007194010
1.30000000  -1.9801953125  0.1002311534  0.9896216532  0.0051816406
1.60000000  -1.9278359375  0.2704519301  0.9594596659  0.0203170573
1.90000000  -1.8061640625  0.5912634416  0.8795986532  0.0584075521
2.20000000  -1.5561536458  1.3099338578  0.6575912476  0.1471946615
2.50000000  -1.1333593750  1.0620703989  0.2049456380  0.3136009115

# Exchange acceptance per pair (T_i, T_{i+1}):
# pair (0,1): T=1.0000-1.3000  accept=3785/6000  rate=0.6308
# pair (1,2): T=1.3000-1.6000  accept=2204/6000  rate=0.3673
# pair (2,3): T=1.6000-1.9000  accept=1362/6000  rate=0.2270
# pair (3,4): T=1.9000-2.2000  accept=882/6000  rate=0.1470
# pair (4,5): T=2.2000-2.5000  accept=478/6000  rate=0.0797
